gendered,non_gendered
Dey bewarb sich auf die freie Lektor/instelle bei einem renommierten Verlag.,Sie bewarb sich auf die freie Lektorinstelle bei einem renommierten Verlag.
Der Seiteneinsteiger:inlehrgang hilft in neue Berufe.,Der Seiteneinsteigerinlehrgang hilft in neue Berufe.
"Dier Psycholog/in half dem, deren Ängste zu überwinden.","Die Psychologin half ihr, ihre Ängste zu überwinden."
"Es gab eineN AugenzeugIn, die den Vorfall beobachtet hat. Ich habe deren Namen aber nicht erfragen können oder eine Nummer. Vielleicht ist die Person ja sichtbar auf der Aufnahme.",Mo ist sehr begabt und eine Alleskönnerin.
"Dier Lizenznehmer*in erhielt die Erlaubnis, das patentierte Produkt zu produzieren.","Der Lizenznehmer erhielt die Erlaubnis, das patentierte Produkt zu produzieren."
Die Querdenker/in-Demo fand am Samstag in der Innenstadt statt.,Die Querdenker-Demo fand am Samstag in der Innenstadt statt.
Der Bäuer:inhof produziert frische Milch und Eier.,Der Bäuerinhof produziert frische Milch und Eier.
Dier ÄlplerIn sorgt für das Wohl ihrer GästInnen auf der Alm.,Die Älplerin sorgt für das Wohl ihrer Gästinnen auf der Alm.
"Dier Prüfstatiker:in überprüfte die Sicherheitsanforderungen des neuen Gebäudes, um die Tragfähigkeit zu gewährleisten.","Der Prüfstatiker überprüfte die Sicherheitsanforderungen des neuen Gebäudes, um die Tragfähigkeit zu gewährleisten."
Die Feuerwehrkräfte löschten den Brand schnell und effizient.,Die Feuerwehrfrauen löschten den Brand schnell und effizient.
Dier Held*in rettete das Kind aus dem brennenden Gebäude.,Die Heldin rettete das Kind aus dem brennenden Gebäude.
Dier Handlanger:in brachte die Werkzeuge zur Baustelle.,Die Handlangerin brachte die Werkzeuge zur Baustelle.
Die Kampagne hatte viele treue Unterstützer/innen.,Die Kampagne hatte viele treue Unterstützerinnen.
Das junge Team feierte seinen Sieg ausgiebig.,Das Mädchenteam feierte seinen Sieg ausgiebig.
"Dey wurde als Feigling bezeichnet, weil dey sich vor der Herausforderung drückte.","Er wurde als Feigling bezeichnet, weil er sich vor der Herausforderung drückte."
Die Amateur:innen machen ihre ersten Schritte in einem neuen Bereich.,Die Amateurinnen machen ihre ersten Schritte in einem neuen Bereich.
Dier Initiator/in des Projekts war begeistert von der positiven Resonanz.,Der Initiator des Projekts war begeistert von der positiven Resonanz.
Die Person programmierte Benutzungsoberfläche im eigenen Lieblingsframework.,Sie programmierte die Benutzerinoberfläche in ihrem Lieblingsframework.
Die schuhherstellende Fachkraft reparierte die kaputten Stiefel.,Der Schuhmacher reparierte die kaputten Stiefel.
Als Migrant_in bringt dey eine vielfältige Perspektive in unser Team e_in.,Als Migrant bringt er eine vielfältige Perspektive in unser Team ein.
Die SponsorInnen unterstützten das Sportereignis finanziell.,Die Sponsorinnen unterstützten das Sportereignis finanziell.
"Die Kund/inorientierung unseres Teams zeigt sich in der hohen Qualität des Service, den wir bieten.","Die Kundenorientierung unseres Teams zeigt sich in der hohen Qualität des Service, den wir bieten."
Dier Außenseiter*in fand nur schwer Anschluss in der neuen Klasse.,Die Außenseiterin fand nur schwer Anschluss in der neuen Klasse.
Als fachlich breit aufgestellter Mensch verfügte dey über umfassendes Wissen in vielen Bereichen.,Als Generalist verfügte er über umfassendes Wissen in vielen Bereichen.
Dier Gaffer/in behinderte die Rettungskräfte bei ihrer Arbeit.,Die Gafferin behinderte die Rettungskräfte bei ihrer Arbeit.
Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die unbemannte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.
Dier Erzähler*in hielt die Kinder mit spannenden Geschichten in Atem.,Der Erzähler hielt die Kinder mit spannenden Geschichten in Atem.
Dier Reiter*in sprang über die Hürden.,Der Reiter sprang über die Hürden.
Dier Schriftführer/in hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.,Die Schriftführerin hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.
Dier GärtnerIn pflanzte neue Blumen im Park.,Der Gärtner pflanzte neue Blumen im Park.
Die sprechende Person inspirierte das Publikum mit ihrer Leidenschaft und ihrem Fachwissen.,Die Speakerin inspirierte das Publikum mit ihrer Leidenschaft und ihrem Fachwissen.
Dier ArbeiterIn schuftete den ganzen Tag auf der Baustelle.,Die Arbeiterin schuftete den ganzen Tag auf der Baustelle.
Die Hinterbliebenen trafen sich regelmäßig zum Gedenken. ,Die Hinterbliebenen trafen sich regelmäßig zum Gedenken. 
Dier Elektroniker*in arbeitete an der Wartung der komplexen Geräte.,Der Elektroniker arbeitete an der Wartung der komplexen Geräte.
Dier Parteichef*in kündigte eine umfassende Reformpolitik an.,Der Parteichef kündigte eine umfassende Reformpolitik an.
Dier KämmerIn präsentierte einen neuen Haushaltsplan.,Der Kämmerer präsentierte einen neuen Haushaltsplan
Dier ParteichefIn kündigte eine umfassende Reformpolitik an.,Der Parteichef kündigte eine umfassende Reformpolitik an.
Die rechtsextrem gesinnte Person wurde für ihre Taten verurteilt.,Die Rechtsextreme wurde für ihre Taten verurteilt.
Dier Lehrstuhlinhaber_in veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Die Lehrstuhlinhaberin veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.
Dier Leser*in war von der spannenden Handlung des Romans begeistert.,Der Leser war von der spannenden Handlung des Romans begeistert.
Der Tunnelbau wurde auf bergbauweise Weise durchgeführt.,Der Tunnelbau wurde auf bergfrauische Weise durchgeführt.
Die VertreterInnen der Kommission hatten eine lange Reise vor sich. ,Die Vertreter der Kommission hatten eine lange Reise vor sich. 
Verschiedene Medienorganisationen berichteten über das Ereignis aus verschiedenen Blickwinkeln.,Verschiedene Medienanbieterinnen berichteten über das Ereignis aus verschiedenen Blickwinkeln.
Dier Favorit*in des Rennens hat diesmal leider nicht gewonnen.,Die Favoritin des Rennens hat diesmal leider nicht gewonnen.
Das Begleitprogramm bot den Gäst/innen eine Vielzahl spannender Aktivitäten während des Hauptevents.,Das Damenprogramm bot den Gästinnen eine Vielzahl spannender Aktivitäten während des Hauptevents.
Dier Sprecher_in des Unternehmens gab eine Pressekonferenz.,Der Sprecher des Unternehmens gab eine Pressekonferenz.
Dier Ratgeber*in gibt hilfreiche Tipps zur Karriereplanung.,Der Ratgeber gibt hilfreiche Tipps zur Karriereplanung.
"Dier Sparer/in legte regelmäßig Geld auf einem Sparbuch an, um für die Zukunft vorzusorgen.","Die Sparerin legte regelmäßig Geld auf einem Sparbuch an, um für die Zukunft vorzusorgen."
"Die 1000-Personen-Quote wurde eingeführt, um sicherzustellen, dass genügend Personal für das große Event zur Verfügung stand.","Die 1000-Mann-Quote wurde eingeführt, um sicherzustellen, dass genügend Personal für das große Event zur Verfügung stand."
"Die beobachtende Person achtete darauf, dass die Wahl demokratisch ablief.","Der Beobachter achtete darauf, dass die Wahl demokratisch ablief."
Deren Expertise in diesem Fachgebiet ist unbestritten.,Sein Expertentum in diesem Fachgebiet ist unbestritten.
Dier Kommentator_in analysierte das Spiel mit Fachkenntnis.,Die Kommentatorin analysierte das Spiel mit Fachkenntnis.
... Am Wahlsonntag äußerten die Wähler_innen ihren Unmut über die aktuelle Regierung.,... Am Wahlsonntag äußerten die Wähler ihren Unmut über die aktuelle Regierung.
Dier Industriemechaniker/in reparierte die defekte Maschine in der Fabrik.,Der Industriemechaniker reparierte die defekte Maschine in der Fabrik.
Deutschland könnte eine VorreiterInrolle im Klimaschutz spielen.,Deutschland könnte eine Vorreiterinrolle im Klimaschutz spielen.
Dier Schulabbrecher*in suchte nach einer neuen Ausbildungsmöglichkeit.,Die Schulabbrecherin suchte nach einer neuen Ausbildungsmöglichkeit.
Dier Amateur:in steht vor einer neuen Herausforderung.,Die Amateurin steht vor einer neuen Herausforderung.
Die Senior*innen trafen sich regelmäßig zum Kaffee.,Die Seniorinnen trafen sich regelmäßig zum Kaffee.
Die Zuschauer*inquote stieg während der Live-Übertragung.,Die Zuschauerquote stieg während der Live-Übertragung.
Der Leser_inmarkt für digitale Bücher wächst stetig.,Der Lesermarkt für digitale Bücher wächst stetig.
Die Partner*inländer arbeiteten in einem internationalen Handelsabkommen zusammen.,Die Partnerländer arbeiteten in einem internationalen Handelsabkommen zusammen.
Dier Rezeptionist/in begrüßte die Gäst/innen im Hotel.,Die Rezeptionistin begrüßte die Gästinnen im Hotel.
"Die Fans jubelten laut, als ihr Team den Sieg erzielte.","Die Fans jubelten laut, als ihr Team den Sieg erzielte."
Dier Ärzt:in diagnostizierte die Krankheit schnell und genau.,Die Ärztin diagnostizierte die Krankheit schnell und genau.
Die Student*innenstadt war bekannt für ihre lebendige Atmosphäre und zahlreiche kulturelle Veranstaltungen.,Die Studentenstadt war bekannt für ihre lebendige Atmosphäre und zahlreiche kulturelle Veranstaltungen.
Missymagazin sucht eine*n Abonnent*in,Missymagazin sucht eine Abonnentin
... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen.,... Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen.
"Die Strohpersonen in der Organisation wurden eingesetzt, um illegale Geschäfte zu verschleiern.","Die Strohpersonen in der Organisation wurden eingesetzt, um illegale Geschäfte zu verschleiern."
Die Eltern-Kind-Gruppe traf sich jeden Samstag zum Spielen.,Die Vater-Kind-Gruppe traf sich jeden Samstag zum Spielen.
In der KönigInklasse des Motorsports dominieren die besten Fahrerinnen der Welt.,"In der Königinklasse des Motorsports dominieren die besten Fahrerinnen der Welt.
"
Viele Zivilpersonen waren von den Kämpfen betroffen.,Viele Zivilistinnen waren von den Kämpfen betroffen.
"Dier GrundeigentümerIn entschied sich, das Land an eine Baufirma zu verkaufen.","Der Grundeigentümer entschied sich, das Land an eine Baufirma zu verkaufen."
Die Lehrer/innen diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrer diskutierten in der Pause über neue Unterrichtsmethoden.
Dier Proletarier_in organisierte sich in einer Gewerkschaft.,Die Proletarierin organisierte sich in einer Gewerkschaft.
Dier Direktor/in hielt eine Rede vor der gesamten Schule.,Die Direktorin hielt eine Rede vor der gesamten Schule.
Von Seiten des Netzbetriebs wird eine bessere Infrastruktur für schnelles Internet gefordert.,Die Netzbetreiberin fordert eine bessere Infrastruktur für schnelles Internet.
Dier Sprecher/in des Unternehmens gab eine Pressekonferenz.,Der Sprecher des Unternehmens gab eine Pressekonferenz.
Die Supervisor:innen trafen sich zu einer Besprechung.,Die Supervisoren trafen sich zu einer Besprechung.
"Als erfahrene/r Ausbilder/in wusste dey genau, wie dey deren Inhalte verständlich vermitteln konnte.","Als erfahrener Ausbilder wusste er genau, wie er seine Inhalte verständlich vermitteln konnte."
Dier AnruferIn meldete einen Notfall.,Der Anrufer meldete einen Notfall.
Die Betreiber_inpflichten umfassen die Wartung und Sicherheit der Anlage.,Die Betreiberpflichten umfassen die Wartung und Sicherheit der Anlage.
Aus der Perspektive der Mitarbeitenden war das neue Projekt sehr herausfordernd.,Aus der Mitarbeiterinperspektive war das neue Projekt sehr herausfordernd.
Das Board ist gefüllt mit Aktionär/innen.,Das Board ist gefüllt mit Aktionärinnen.
Die Mitarbeiter*inorientierung des Unternehmens zeigt sich in den flexiblen Arbeitszeiten und dem guten Betriebsklima.,Die Mitarbeiterorientierung des Unternehmens zeigt sich in den flexiblen Arbeitszeiten und dem guten Betriebsklima.
Jede:r sollte deren Bürger:inrechte kennen und nutzen.,Jede sollte ihre Bürgerinrechte kennen und nutzen.
Mo war einE bekannteR VerkehrssünderIn und hat mehrere Punkte in Flensburg. ,Mo war ein bekannter Verkehrssünder und hat mehrere Punkte in Flensburg. 
Dier Bergsteiger/in bereitete sich monatelang auf die Expedition vor.,Der Bergsteiger bereitete sich monatelang auf die Expedition vor.
Die Wahlleute wurden bei der Wahlversammlung bestimmt.,Die Wahlfrauen wurden bei der Wahlversammlung bestimmt.
"Dier BeobachterIn achtete darauf, dass die Wahl demokratisch ablief.","Die Beobachterin achtete darauf, dass die Wahl demokratisch ablief."
Dier Sammler:in hortete alte Münzen und antike Briefmarken.,Der Sammler hortete alte Münzen und antike Briefmarken.
Es ist Pflicht ein AbsolventInpraktikum zu machen,Es ist Pflicht ein Absolventenpraktikum zu machen
Die Industriekaufpersonen planen und organisieren den gesamten Produktionsprozess.,Die Industriekauffrauen planen und organisieren den gesamten Produktionsprozess.
"Mein*e Schulkommoliton*in hatte als Kind ein*e Aupair, dey hat uns manchmal abgeholt und uns mit den Hausaufgaben geholfen.","Mein Schulkommolitone hatte als Kind einen Aupair, er hat uns manchmal abgeholt und uns mit den Hausaufgaben geholfen."
Dier Lehrer:in bereitete die Abschlussprüfung vor.,Der Lehrer bereitete die Abschlussprüfung vor.
Die Sekretär_innen organisierten das Büro und die Termine.,Die Sekretäre organisierten das Büro und die Termine.
Die Angestellten freuten sich über den MitarbeiterInrabatt im Firmenladen.,Die Angestellten freuten sich über den Mitarbeiterinrabatt im Firmenladen.
Dier ArchitektIn entwarf das moderne Bürogebäude.,Die Architektin entwarf das moderne Bürogebäude.
Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.,Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.
Als Hamburger*in ist dey Regen gewohnt.,Als Hamburgerin ist sie Regen gewohnt.
Die Einflussnehmer_innen wirkten im Hintergrund an den Entscheidungen mit.,Die Einflussnehmer wirkten im Hintergrund an den Entscheidungen mit.
Die illustrierende Person entwarf die lebhaften Bilder für das Kinderbuch.,Der Illustrator entwarf die lebhaften Bilder für das Kinderbuch.
"Selbst als Manager/in behält dey stets ein offenes Ohr für die Anliegen deren Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen.","Selbst als Manager behält er stets ein offenes Ohr für die Anliegen seines Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen."
Die Diskussion über die Kanzler*in-Frage spaltete die Meinungen der Bevölkerung und führte zu hitzigen Debatten in den Medien.,Die Diskussion über die Kanzlerin-Frage spaltete die Meinungen der Bevölkerung und führte zu hitzigen Debatten in den Medien.
"Dier Koordinator/in organisierte das Event.
","Die Koordinatorin organisierte das Event.
"
Die Gutachter/innen waren sich beim Wert des Hauses nicht einig. ,Die Gutachter waren sich beim Wert des Hauses nicht einig. 
Dier Gestalter:in entwarf das neue Logo der Firma.,Der Gestalter entwarf das neue Logo der Firma.
"Dier Schreiber*in verfasste das Protokoll der Besprechung, damit alle Entscheidungen dokumentiert wurden.","Die Schreiberin verfasste das Protokoll der Besprechung, damit alle Entscheidungen dokumentiert wurden."
Dier Körperspender:in hat deren Überreste der medizinischen Forschung zur Verfügung gestellt.,Der Körperspender hat seine Überreste der medizinischen Forschung zur Verfügung gestellt.
Die alten Griech_innen glaubten an viele Gött_innen.,Die alten Griechinnen glaubten an viele Göttinnen.
Die am Finale Teilnehmenden bereiteten sich intensiv auf das letzte Turnier vor.,Die Finalistinnen bereiteten sich intensiv auf das letzte Turnier vor.
Dier Springer/in übernahm kurzfristig die Vertretung im Service.,Der Springer übernahm kurzfristig die Vertretung im Service.
Das drittanbietende Unternehmen stellte zusätzliche Softwarelösungen bereit.,Der Drittanbieter stellte zusätzliche Softwarelösungen bereit.
Die darstellenden Kinder eroberten die Herzen des Publikums mit deren unbekümmerten Natürlichkeit.,Die Kinderdarstellerinnen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.
Dier Technolog/in erforschte neue Entwicklungen in der Computertechnik und präsentierte deren Ergebnisse auf der Konferenz.,Die Technologin erforschte neue Entwicklungen in der Computertechnik und präsentierte ihre Ergebnisse auf der Konferenz.
Aus der Mitarbeiter/inperspektive war das neue Projekt sehr herausfordernd.,Aus der Mitarbeiterinperspektive war das neue Projekt sehr herausfordernd.
Die Nachbar/innen luden zum Grillfest ein.,Die Nachbarinnen luden zum Grillfest ein.
Die Verteidigung besprach die Details des Falls ausführlich mit den KlientInnen.,Die Verteidigung besprach die Details des Falls ausführlich mit den Klientinnen.
"Dier Softwareentwickler/in, dier das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit.","Die Softwareentwicklerin, die das neue System programmiert hat, erhielt viel Lob für ihre innovative Arbeit."
Die Seefahrer_innen entdeckten neue Länder.,Die Seefahrerinnen entdeckten neue Länder.
"Dier Vorredner:in machte einige wichtige Punkte, die ich nun vertiefen möchte.","Die Vorrednerin machte einige wichtige Punkte, die ich nun vertiefen möchte."
Heute ist dier Ableser/in ab 10Uhr morgens da zum arbeiten.,Heute ist die Ableserin ab 10Uhr morgens da zum arbeiten.
"Dier Landnutzer/in bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Der Landnutzer bewirtschaftet sein Grundstück nachhaltig, um die Bodenqualität zu erhalten."
"Dier Widerstandskämpfer/in riskierte deren Leben, um gegen das unterdrückende Regime zu kämpfen.","Die Widerstandskämpferin riskierte ihr Leben, um gegen das unterdrückende Regime zu kämpfen."
Dier Entscheider/in im Unternehmen genehmigte das neue Projekt.,Der Entscheider im Unternehmen genehmigte das neue Projekt.
Dier GrafikerIn erstellte beeindruckende Illustrationen für das Magazin.,Die Grafikerin erstellte beeindruckende Illustrationen für das Magazin.
Im Kollegiumszimmer tauschten sich die Lehrkäfte über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrerzimmer tauschten sich die Lehrer über ihre Erfahrungen und Unterrichtsstrategien aus.
"Der Bürger_inkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma.","Der Bürgerinkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma."
Dier Gaffer*in behinderte die Rettungskräfte bei ihrer Arbeit.,Die Gafferin behinderte die Rettungskräfte bei ihrer Arbeit.
... Bei der Geburt eines Kindes steht dem anderen Elternteil ein Tag bezahlter Sonderurlaub zu.,... Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu.
"An der engen Brücke steht ein Schild: ""Fahrradfahrer*innen müssen absteigen.""","An der engen Brücke steht ein Schild: ""Fahrradfahrerinnen müssen absteigen."""
Die Veranstaltenden des Konzerts waren zufrieden mit der Resonanz. ,Die Veranstalterinnnen des Konzerts waren zufrieden mit der Resonanz. 
Dier Praktiker/in zeigte uns hilfreiche Tipps aus der Praxis.,Der Praktiker zeigte uns hilfreiche Tipps aus der Praxis.
Die Sprachanimateur/innen machten den Unterricht interaktiv und lebendig.,Die Sprachanimateurinnen machten den Unterricht interaktiv und lebendig.
Es ist Pflicht ein Absolvent/inpraktikum zu machen,Es ist Pflicht ein Absolventinpraktikum zu machen
Dier Zeug*in sagte im Gerichtsprozess gegen dier Angeklagte*n aus.,Die Zeugin sagte im Gerichtsprozess gegen die Angeklagte aus.
Dier Jubilar_in wurde für deren 25-jährige Betriebszugehörigkeit geehrt.,Der Jubilar wurde für seine 25-jährige Betriebszugehörigkeit geehrt.
"Dier Spaßverderber_in sorgte mit ständigen Beschwerden dafür, dass die Stimmung schnell sank.","Der Spaßverderber sorgte mit ständigen Beschwerden dafür, dass die Stimmung schnell sank."
"Die Kund:inberatung in unserem Laden ist ausgezeichnet und hilft jeder Person, das passende Produkt zu finden.","Die Kundenberatung in unserem Laden ist ausgezeichnet und hilft jeder Person, das passende Produkt zu finden."
Die Kauffachkräfte auf dem Markt verhandelten eifrig über die Preise ihrer Waren.,Die Kauffrauen auf dem Markt verhandelten eifrig über die Preise ihrer Waren.
Die Zimmerperson ertigte maßgefertigte Möbelstücke an.,Die Zimmerfrau fertigte maßgefertigte Möbelstücke an.
Dier Italiener:in bereitete ein traditionelles Pasta-Gericht zu.,Der Italiener bereitete ein traditionelles Pasta-Gericht zu.
Dier Analysierende Forschungsfachkraft untersucht gründlich die vorliegenden Daten.,Die Analytikerin untersucht gründlich die vorliegenden Daten.
Die Fachkräfte für Archivwesen bewahren historische Manuskripte auf.,Die Archivare bewahren historische Manuskripte auf.
"Dier Tontechniker/in sorgt dafür, dass der Sound der Veranstaltung gut klingt.","Die Tontechnikerin sorgt dafür, dass der Sound der Veranstaltung gut klingt."
Die Karnevalist*innen zogen mit ihren bunten Kostümen und lauten Musikinstrumenten durch die Straßen,Die Karnevalistinnen zogen mit ihren bunten Kostümen und lauten Musikinstrumenten durch die Straßen
Die hohe MitarbeiterInmobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.,Die hohe Mitarbeitermobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.
Die Stipendiat_innen wurden für ihre herausragenden Leistungen ausgezeichnet.,Die Stipendiatinnen wurden für ihre herausragenden Leistungen ausgezeichnet.
"Dier Lernbegleiter*in unterstützte die Schüler*innen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Die Lernbegleiterin unterstützte die Schülerinnen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen."
Dier Patient/in klagte über starke Schmerzen.,Der Patient klagte über starke Schmerzen.
Die Einflussnehmenden wirkten im Hintergrund an den Entscheidungen mit.,Die Einflussnehmer wirkten im Hintergrund an den Entscheidungen mit.
"Die Investierende trafen sich, um über die zukünftige Strategie des Unternehmens zu beraten.","Die Investorinnen trafen sich, um über die zukünftige Strategie des Unternehmens zu beraten."
Geben Sie Ihre Versichertennummer im Formular an.,Geben Sie Ihre Versichertennummer im Formular an.
Die Badeaufsicht sorgt für Sicherheit am Schwimmbecken.,Der Bademeister sorgt für Sicherheit am Schwimmbecken.
Dier Schatzmeister/in verwaltete die Finanzen des Vereins.,Der Schatzmeister verwaltete die Finanzen des Vereins.
Dier Kampfrichter:in bewertete fair und objektiv die Leistungen der Athlet:innen während des Wettbewerbs.,Der Kampfrichter bewertete fair und objektiv die Leistungen der Athleten während des Wettbewerbs.
Der Fußgänger:inweg führte durch einen schönen Park.,Der Fußgängerinweg führte durch einen schönen Park.
Dier Zeitarbeitnehmer/in wurde für ein kurzfristiges Projekt eingestellt.,Der Zeitarbeitnehmer wurde für ein kurzfristiges Projekt eingestellt.
Mein:e Verlobte:r hat deren Ring kurz vor der Hochzeit verloren. ,Meine Verlobte hat ihren Ring kurz vor der Hochzeit verloren. 
"Dier Beauftragte für Datenschutz stellte sicher, dass alle Regeln eingehalten wurden.","Die Beauftragte für Datenschutz stellte sicher, dass alle Regeln eingehalten wurden."
Die Seefahrer*innen entdeckten neue Länder.,Die Seefahrerinnen entdeckten neue Länder.
Dier Pförtner*in ließ die Besucher*innen in das Gebäude.,Der Pförtner ließ die Besucher in das Gebäude.
Dier Literaturkritiker/in verfasste eine ausführliche Rezension des neuen Romans.,Der Literaturkritiker verfasste eine ausführliche Rezension des neuen Romans.
Die talentierten Künstler_innen arbeiteten zusammen an einem großen Wandgemälde.,"Die talentierten Künstler arbeiteten zusammen an einem großen Wandgemälde.
"
"Dier Vorredner_in machte einige wichtige Punkte, die ich nun vertiefen möchte.","Der Vorredner machte einige wichtige Punkte, die ich nun vertiefen möchte."
Jedes Individuum hat das Recht auf Freiheit und Sicherheit.,Jedes Individuum hat das Recht auf Freiheit und Sicherheit.
Die Nachricht hat mich als Adressat_in,Die Nachricht hat mich als Adressat
Dier Redner/in begeisterte das Publikum mit deren Vortrag.,Die Rednerin begeisterte das Publikum mit ihrem Vortrag.
Die HelferInnen verteilten warme Mahlzeiten an obdachlose Menschen.,Die Helfer verteilten warme Mahlzeiten an obdachlose Menschen.
Der Kurs für Fortgeschrittene baute auf den Grundlagen des vorherigen Kurses auf.,Der Kurs für Fortgeschrittene baute auf den Grundlagen des vorherigen Kurses auf.
"Als Grundrechtsträger:in genießt jede:r Bürger:in die Freiheit, deren Meinung zu äußern.","Als Grundrechtsträgerin genießt jede Bürgerin die Freiheit, ihre Meinung zu äußern."
Mensch sollte immer die Wahrheit sagen.,Man sollte immer die Wahrheit sagen.
"Dier Vermittler*in half dabei, den Streit zwischen den beiden Parteien zu schlichten.","Der Vermittler half dabei, den Streit zwischen den beiden Parteien zu schlichten."
Das Team war mit 15 Personen zahlreich bei der Konferenz vertreten.,Das Team war mit 15 Personen zahlreich bei der Konferenz vertreten.
Dier Gewinner*in des Wettbewerbs freute sich über den ersten Platz.,Die Gewinnerin des Wettbewerbs freute sich über den ersten Platz.
Die Serviceperson reinigte das Hotelzimmer gründlich.,Der Zimmerjunge reinigte das Hotelzimmer gründlich.
Die Assessor:innen bereiteten sich auf die mündliche Prüfung vor.,Die Assessoren bereiteten sich auf die mündliche Prüfung vor.
Die Fachkraft für Schulsozialarbeit half der Schülerschaft bei persönlichen Problemen.,Die Schulsozialarbeiterin half Schülerinnen bei persönlichen Problemen.
Dier Insider:in verriet vertrauliche Informationen an die Presse.,Die Insiderin verriet vertrauliche Informationen an die Presse.
Dier Neukund_in wurde herzlich im Unternehmen begrüßt und erhielt eine umfassende Einführung _in die angebotenen Produkte und Dienstleistungen.,Die Neukundin wurde herzlich im Unternehmen begrüßt und erhielt eine umfassende Einführung in die angebotenen Produkte und Dienstleistungen.
Die Berichterstatter:innen sendeten den ganzen Tag live vom Unfallort.,Die Berichterstatter sendeten den ganzen Tag live vom Unfallort.
Jede:r Mitarbeiter*in kam pünktlich.,Jeder Mitarbeiter kam pünktlich.
Die ForscherInnen entdeckten eine neue Pflanzenart im Regenwald.,Die Forscherinnen entdeckten eine neue Pflanzenart im Regenwald.
... Der Gewinn betrug 20 Euro pro Person / Nase.,... Der Gewinn betrug 20 Euro pro Mann.
Die Reformer_innen strebten nach Veränderung.,Die Reformer strebten nach Veränderung.
AntragstellerIn ,Die Antragstellerin füllte alle notwendigen Formulare aus.
Dier neue Kolleg*in stellte sich als Namensvetter*in heraus.,Der neue Kollege stellte sich als Namensvetter heraus.
Dier Bergführer/in kannte den besten Weg zum Gipfel.,Der Bergführer kannte den besten Weg zum Gipfel.
Dier Fußgänger_in überquerte die Straße an der Ampel.,Die Fußgängerin überquerte die Straße an der Ampel.
Die Spitzenvertretung des Unternehmens nahm an der internationalen Konferenz teil.,Die Spitzenvertreterin des Unternehmens nahm an der internationalen Konferenz teil.
Die Musiker*innen suchten eine Gelegenheit wieder live zu spielen. ,Die Musiker suchten eine Gelegenheit wieder live zu spielen. 
Die Publikumszahl bei dem Fußballspiel erreichte einen neuen Rekord.,Die Zuschauerzahl bei dem Fußballspiel erreichte einen neuen Rekord.
Die Kraftfahrer_innen holten die Waren zuverlässig ab.,Die Kraftfahrer holten die Waren zuverlässig ab.
Dier Protagonist:in der Geschichte war ein:e mutige:r Held:in.,Der Protagonist der Geschichte war ein mutiger Held.
"Die V-Leute wurden von den Behörden eingesetzt, um illegale Machenschaften aufzudecken.","Die V-Männer wurden von den Behörden eingesetzt, um illegale Machenschaften aufzudecken."
"... Bald entscheidet es sich, ob die Zeit unserE VerbündeteR ist.","... Bald entscheidet es sich, ob die Zeit unser Verbündete ist."
Die Bundespräsident/inwahl findet alle fünf Jahre statt.,Die Bundespräsidentinwahl findet alle fünf Jahre statt.
Durch gezielte KundInwerbung konnten wir unsere Reichweite erheblich steigern.,Durch gezielte Kundinwerbung konnten wir unsere Reichweite erheblich steigern.
Die Dozierenden der Universität haben Expertise in ihrem Gebiet.,Die Dozenten der Universität sind Experten auf ihrem Gebiet.
Dier InlineskaterIn trainiert täglich im Park.,Die Inlineskaterin trainiert täglich im Park.
Die Leitenden eines Lehrstuhles betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter betreuten zahlreiche Forschungsprojekte.
Der Bäuer_inhof produziert frische Milch und Eier.,Der Bauernhof produziert frische Milch und Eier.
... Wie viele User/innen hat diese Website?,... Wie viele Userinnen hat diese Website?
Die Patient*ininformation umfasst alle relevanten Details zur Behandlung und Medikation.,Die Patientininformation umfasst alle relevanten Details zur Behandlung und Medikation.
