non_gendered,gendered,predicted
Das Kindermädchen kümmerte sich liebevoll um die Kinder.,Dier Aupair kümmerte sich liebevoll um die Kinder.,Der Aupair kümmerte sich liebevoll um die Kinder.
Die Sender der Karte haben ihre Unterschriften vergessen.,Die SenderInnen der Karte haben ihre Unterschriften vergessen.,Die Senderinnen der Karte haben ihre Unterschriften vergessen.
Das Schülerinpraktikum bot den Jugendlichen einen Einblick in verschiedene Berufsfelder.,Das Schüler_inpraktikum bot den Jugendlichen einen Einblick in verschiedene Berufsfelder.,Das Schülerpraktikum bot den Jugendlichen einen Einblick in verschiedene Berufsfelder.
Er kaufte sich ein neues Herrenfahrrad für die tägliche Fahrt zur Arbeit.,Dey kaufte sich ein neues Diamantrahmenfahrrad für die tägliche Fahrt zur Arbeit.,Sie kaufte sich ein neues Diamantrahmenfahrrad für die tägliche Fahrt zur Arbeit.
Sie beantragte die deutsche Staatsbürgerinschaft.,Dey beantragte die deutsche Staatsbürger/inschaft.,Er beantragte die deutsche Staatsbürgerschaft.
Das Arztzeugnis muss bei der Arbeit eingereicht werden.,Das Ärzt_inzeugnis muss bei der Arbeit eingereicht werden.,Das rztinzeugnis muss bei der Arbeit eingereicht werden.
Die Personalvertreterin sprach für die Interessen der Angestellten.,Die Personalvertretung sprach für die Interessen der Angestellten.,Die Personalvertretung sprach für die Interessen der Angestellten.
Er fand viele Mitstreiter für sein Projekt.,Dey fand viele Mitstreiter/innen für deren Projekt.,Sie fand viele Mitstreiterinnen für ihre Projekt.
... Wie viele Nutzer hat das Fitnessstudio?,... Wie viele Nutzer:innen hat das Fitnessstudio?,... Wie viele Nutzerinnen hat das Fitnessstudio?
... Hast du eine Freundin?,... Hast du eine_n Freund_in?,... Hast du eine Freundin?
Der Leistungsempfänger musste einen Antrag auf Sozialhilfe ausfüllen.,Dier Leistungsempfänger_in musste einen Antrag auf Sozialhilfe ausfüllen.,Der Leistungsempfänger musste einen Antrag auf Sozialhilfe ausfüllen.
Die Zahnarztpraxis bietet auch kosmetische Behandlungen an.,Die Zahnärzt:inpraxis bietet auch kosmetische Behandlungen an.,Die Zahnarztpraxis bietet auch kosmetische Behandlungen an.
"Der Kursadministrator koordinierte die Anmeldungen und sorgte für einen reibungslosen Ablauf.
",Dier Kursadministrator_in koordinierte die Anmeldungen und sorgte für einen reibungslosen Ablauf.,Der Kursadministrator koordinierte die Anmeldungen und sorgte für einen reibungslosen Ablauf.
Die Personalleiterin entscheidet über die Neueinstellungen.,Dier Personalleiter:in entscheidet über die Neueinstellungen.,Die Personalleiterin entscheidet über die Neueinstellungen.
Die Staatsfrauen führten wichtige Gespräche über internationale Beziehungen und Handelsabkommen.,Die Staatsleute führten wichtige Gespräche über internationale Beziehungen und Handelsabkommen.,Die Staatsfrau führten wichtige Gespräche über internationale Beziehungen und Handelsabkommen.
Die Pächterin renovierte das alte Gebäude.,Die pachtende Person renovierte das alte Gebäude.,Die Pachtenfrau renovierte das alte Gebäude.
Die Mitarbeiter arbeiteten gemeinsam an dem Projekt.,Die MitarbeiterInnen arbeiteten gemeinsam an dem Projekt.,Die Mitarbeiter arbeiteten gemeinsam an dem Projekt.
Die Studentinnen diskutierten über das neue Forschungsprojekt.,Die Student_innen diskutierten über das neue Forschungsprojekt.,Die Studentinnen diskutierten über das neue Forschungsprojekt.
... Hast du einen Freund?,... Hast du eine:n Freund:in?,... Hast du eine Freundin?
Mit seiner bahnbrechenden Forschung war er Wegbereiter für viele neue Entdeckungen.,Mit ihrer bahnbrechender Forschung war dey WegbereiterIn für viele neue Entdeckungen.,Mit ihrer bahnbrechender Forschung war sie Wegbereiterin für viele neue Entdeckungen.
Die Laiinnen im Publikum stellten viele interessante Fragen.,Die Lai:innen im Publikum stellten viele interessante Fragen.,Die Laiinnen im Publikum stellten viele interessante Fragen.
Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen.,Sie sollten Ihre_n Lebenspartner_in in die Planung mit einbeziehen.,Sie sollten Ihre Lebenspartnerin in die Planung mit einbeziehen.
"Die Verkäufer in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kunden zu erfüllen.","Die Verkaufskräfte in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kundschaft zu erfüllen.","Die Verkaufskräfte in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kunden zu erfüllen."
"Die Investoren trafen sich, um über die zukünftige Strategie des Unternehmens zu beraten.","Die Investor_innen trafen sich, um über die zukünftige Strategie des Unternehmens zu beraten.","Die Investorinnen trafen sich, um über die zukünftige Strategie des Unternehmens zu beraten."
Der Bauernhof produziert frische Milch und Eier.,Der BäuerInhof produziert frische Milch und Eier.,Der BäuerInhof produziert frische Milch und Eier.
Die Berichterstatterinnen sendeten den ganzen Tag live vom Unfallort.,Die Berichterstatter/innen sendeten den ganzen Tag live vom Unfallort.,Die Berichterstatter sendeten den ganzen Tag live vom Unfallort.
"Um den Dienst zu nutzen, muss man ein Benutzerkonto erstellen.","Um den Dienst zu nutzen, muss man ein Benutzer/inkonto erstellen.","Um den Dienst zu nutzen, muss man ein Benutzerkonto erstellen."
Im Fahrgästinraum des Busses herrschte eine entspannte Atmosphäre.,Im Fahrgäst:inraum des Busses herrschte eine entspannte Atmosphäre.,Im Fahrgästinraum des Busses herrschte eine entspannte Atmosphäre.
Der Clown brachte die Kinder zum Lachen.,Dier ClownIn brachte die Kinder zum Lachen.,Der Clown brachte die Kinder zum Lachen.
"Für viele ist das Vaterland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird.","Für viele ist das Heimatland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird.","Für viele ist das Heimatland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird."
Als Montagsmaler zeichnete er einfache Bilder und gewann damit viele Freunde.,Als Montagsmaler/in zeichnete dey einfache Bilder und gewann damit viele Freunde.,Als Montagsmaler zeichnete er einfache Bilder und gewann damit viele Freunde.
Die unbefraute Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.
Dieser Brief hat als Absenderin Katharinal Patil,Dieser Brief wurde abgesandt durch Katharinal Patil,Dieser Brief wurde abgesandt durch Katharinal Patil
Der Schlagmann erzielte im Cricket-Match einige wichtige Runs für das Team.,Die Schlagperson erzielte im Cricket-Match einige wichtige Runs für das Team.,Die Schlagfrau erzielte im Cricket-Match einige wichtige Runs für das Team.
Die Diskutanten tauschten ihre Meinungen lebhaft aus.,Die Diskutant:innen tauschten ihre Meinungen lebhaft aus.,Die Diskutantinnen tauschten ihre Meinungen lebhaft aus.
Der Anwalt gewann fast alle Prozesse vor Gericht.,Die Rechtsvertretung gewann fast alle Prozesse vor Gericht.,Die Rechtsvertretung gewann fast alle Prozesse vor Gericht.
Erwachsene sollten Vorbilder für die jüngere Generation sein.,Erwachsene sollten Vorbilder für die jüngere Generation sein.,Erwachsene sollten Vorbilder für die jüngere Generation sein.
Die Ratsfrau sprach bei der Stadtratssitzung.,Die Ratsperson sprach bei der Stadtratssitzung.,Die Ratspersonin sprach bei der Stadtratssitzung.
Sein Lebenspartner unterstützte ihn in jeder Lebenslage und war stets an seiner Seite.,Deren verpartnerte Person unterstützte dem in jeder Lebenslage und war stets an deren Seite.,Der Verpartner unterstützte ihn in jeder Lebenslage und war stets an seine Seite.
Die Wanderin durchstreifte die Berge und genoss die frische Luft.,Die wandernde Person durchstreifte die Berge und genoss die frische Luft.,Die Wanderfrau durchstreifte die Berge und genoss die frische Luft.
Der Schöpfer der neuen Software erhielt viel Lob für die innovative Benutzeroberfläche.,Dier SchöpferIn der neuen Software erhielt viel Lob für die innovative BenutzerInoberfläche.,Der Schöpfer der neuen Software erhielt viel Lob für die innovative Benutzeroberfläche.
"Als ich von der Kriminalpolizei angefragt wurde, war ich die Befragte.","Als ich von der Kriminalpolizei angefragt wurde, war ich dier Befragte.","Als ich von der Kriminalpolizei angefragt wurde, war ich die Befragte."
... Liebe Freundinnen und Förderinnen unseres Vereins!,... Liebe Freund/innen und Förder/innen unseres Vereins!,... Liebe Freundinnen und Förderinnen unseres Vereins!
"Die Theaterpädagogin entwickelte ein kreatives Programm, um Kindern spielerisch das Theater näherzubringen.","Dier Theaterpädagog*in entwickelte ein kreatives Programm, um Kindern spielerisch das Theater näherzubringen.","Die Theaterpädagogin entwickelte ein kreatives Programm, um Kindern spielerisch das Theater näherzubringen."
Dieser Brief hat als Absender Katharinal Patil,Dieser Brief hat als Absender/in Katharinal Patil,Dieser Brief hat als Absender Katharinal Patil
Die Auswanderer suchten in einem anderen Land nach einem besseren Leben.,Die Auswanderer/innen suchten in einem anderen Land nach einem besseren Leben.,Die Auswanderinnen suchten in einem anderen Land nach einem besseren Leben.
Die Gästin wurde herzlich empfangen.,Dier Gäst*in wurde herzlich empfangen.,Die Gästin wurde herzlich empfangen.
Der Star des Abends war eine bekannte Sängerin.,Der Star des Abends war eine bekannte singende Person.,Der Star des Abends war eine bekannte Sänger.
"Die Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als der Vorsitzende unerwartet abwesend war.","Dier Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als dier Vorsitzende unerwartet abwesend war.","Der Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als der Vorsitzende unerwartet abwesend war."
Der Umfang des Projekts wurde auf 200 Manntage geschätzt.,Der Umfang des Projekts wurde auf 200 Personentage geschätzt.,Der Umfang des Projekts wurde auf 200 Personentage geschätzt.
"Die Bürgerwissenschaft ermöglicht es Laien, an wissenschaftlichen Projekten teilzunehmen.","Die Bürger_inwissenschaft ermöglicht es Lai_innen, an wissenschaftlichen Projekten teilzunehmen.","Die Bürgerwissenschaft ermöglicht es Laiinnen, an wissenschaftlichen Projekten teilzunehmen."
... Sasha ist mein Freund.,... Sasha ist mein/e Freund/in.,... Sasha ist mein Freund.
"Als Grundrechtsträger genießt jeder Bürger die Freiheit, seine Meinung zu äußern.","Als grundrechtsberechtigte Person genießt jede staatsangehörige Person die Freiheit, ihre Meinung zu äußern.","Als Grundrechtsberechtigte genießt jede staatsangehörige die Freiheit, ihre Meinung zu äußern."
Die Rechnungsempfängerinnen öffnen ihre Briefe.,Die Rechnungsempfänger:innen öffnen ihre Briefe.,Die Rechnungsempfänger öffnen ihre Briefe.
"Die Studienaussteigerin entschied sich, das Studium abzubrechen und eine Ausbildung im Handwerk zu beginnen.","Dier Studienaussteiger*in entschied sich, das Studium abzubrechen und eine Ausbildung im Handwerk zu beginnen.","Der Studienaussteiger entschied sich, das Studium abzubrechen und eine Ausbildung im Handwerk zu beginnen."
Die Richter besprechen sich vor der Urteilsverkündung.,Die Richter_innen besprechen sich vor der Urteilsverkündung.,Die Richter besprechen sich vor der Urteilsverkündung.
Meine Mutter erzählte mir oft Geschichten aus ihrer Kindheit.,Mein Elternteil erzählte mir oft Geschichten aus deren Kindheit.,Mein Elternteil erzählte mir oft Geschichten aus ihrer Kindheit.
Manch einer ist die Musik zu laut.,Manch einer Person ist die Musik zu laut.,Manch einer ist die Musik zu laut.
Das Sender-Nachricht-Empfänger-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.,Das Sender:in-Nachricht-Empfänger:in-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.,Das Senderin-Nachricht-Empfängerin-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.
Die Berichterstatter sendeten den ganzen Tag live vom Unfallort.,Die BerichterstatterInnen sendeten den ganzen Tag live vom Unfallort.,Die Berichterstatterinnen sendeten den ganzen Tag live vom Unfallort.
Die Filmstar wurde auf dem roten Teppich gefeiert.,Die Filmberühmtheit wurde auf dem roten Teppich gefeiert.,Die Filmberühmtheit wurde auf dem roten Teppich gefeiert.
Die Sekretärin bereitete die Unterlagen für das Meeting vor. ,Dier Sekretär*in bereitete die Unterlagen für das Meeting vor. ,Die Sekretärin bereitete die Unterlagen für das Meeting vor.
"Ein positives Kundenerlebnis ist entscheidend, damit die Kunden gerne wiederkommen.","Ein positives Kund*inerlebnis ist entscheidend, damit die Kund*innen gerne wiederkommen.","Ein positives Kundinerlebnis ist entscheidend, damit die Kundin gerne wiederkommen."
Die Dienstherrin lobte die Mitarbeiterinnen für ihre harte Arbeit.,Dier Dienstherr:in lobte die Mitarbeiter:innen für ihre harte Arbeit.,Der Dienstherr lobte die Mitarbeiter für ihre harte Arbeit.
Erwachsene sollten Vorbilder für die jüngere Generation sein.,Erwachsene sollten Vorbilder für die jüngere Generation sein.,Erwachsene sollten Vorbilder für die jüngere Generation sein.
"Jederfrau ist eingeladen, an der Veranstaltung teilzunehmen.","Alle sind eingeladen, an der Veranstaltung teilzunehmen.","Alle sind eingeladen, an der Veranstaltung teilzunehmen."
Der Leistungsempfänger musste einen Antrag auf Sozialhilfe ausfüllen.,Die leistungsempfangende Person musste einen Antrag auf Sozialhilfe ausfüllen.,Die Leistungsempfangenin musste einen Antrag auf Sozialhilfe ausfüllen.
Die Erben traten das Erbe ihres verstorbenen Onkels an.,Die Erb/innen traten das Erbe der verstorbenen Geschwisterperson der Eltern an.,Die Erbinnen traten das Erbe der verstorbenen Geschwisterperson der Eltern an.
"Ein Unbekannter hatte das Päckchen vor der Haustür abgelegt, ohne einen Absender anzugeben.","Eine unbekannte Person hatte das Päckchen vor der Haustür abgelegt, ohne eine_n Absender_in anzugeben.","Eine Unbekannte hatte das Päckchen vor der Haustür abgelegt, ohne eine Absenderin anzugeben."
Der Verbündete unterstützte die Hauptpartei in der politischen Debatte.,Dier Verbündete unterstützte die Hauptpartei in der politischen Debatte.,Der Verbündete unterstützte die Hauptpartei in der politischen Debatte.
Sie ist ein echtes Naturmädchen und verbringt viel Zeit im Wald.,Dey ist ein echter Naturmensch und verbringt viel Zeit im Wald.,Sie ist ein echter Naturmensch und verbringt viel Zeit im Wald.
Mit ihrem Leserinausweis konnte sie Bücher aus der Bibliothek ausleihen.,Mit deren Leser*inausweis konnte dey Bücher aus der Bibliothek ausleihen.,Mit seiner Leserinausweis konnte er Bücher aus der Bibliothek ausleihen.
Der Bürgermeister zeigte große Bürgernähe durch seine regelmäßigen Sprechstunden.,Dier Bürgermeister*in zeigte große Bürger*innähe durch deren regelmäßigen Sprechstunden.,Der Bürgermeister zeigte große Bürgernähe durch seine regelmäßigen Sprechstunden.
Der Sadist erfreute sich am Leiden anderer.,Die zum Sadismus neigende Person erfreute sich am Leiden anderer.,Die Sadismus erfreute sich am Leiden anderer.
Die Nutzeringemeinde des Forums wächst stetig.,Die Nutzer_ingemeinde des Forums wächst stetig.,Die Nutzergemeinde des Forums wächst stetig.
"Die Kunstkennerinnen erkannten sofort die Echtheit des Gemäldes.
","Die Kunstkenner*innen erkannten sofort die Echtheit des Gemäldes.
",Die Kunstkennerinnen erkannten sofort die Echtheit des Gemäldes.
Die Volontärsbeauftragte koordinierte die Aufgaben und Schulungen der neuen Freiwilligen.,Dier Volontärsbeauftragte koordinierte die Aufgaben und Schulungen der neuen Freiwilligen.,Die Volontärsbeauftragte koordinierte die Aufgaben und Schulungen der neuen Freiwilligen.
Der Expertenvortrag zog viele Zuhörer an.,Der ExpertInnenvortrag zog viele ZuhörerInnen an.,Der Expertinnenvortrag zog viele Zuhörerinnen an.
"Der Kursteilnehmer war begeistert von den praxisnahen Übungen.
","Dier Kursteilnehmer/in war begeistert von den praxisnahen Übungen.
",Die Kursteilnehmerin war begeistert von den praxisnahen Übungen.
Der Verursacher des Unfalls meldete sich bei der Polizei.,Dier Verursacher/in des Unfalls meldete sich bei der Polizei.,Der Verursacher des Unfalls meldete sich bei der Polizei.
Der Schuster reparierte die alten Schuhe.,Dier Schuster*in reparierte die alten Schuhe.,Die Schusterin reparierte die alten Schuhe.
Unser Unternehmen möchte seinen Kundinkreis durch gezielte Marketingmaßnahmen erweitern.,Unser Unternehmen möchte seinen Kund_inkreis durch gezielte Marketingmaßnahmen erweitern.,Unser Unternehmen möchte seinen Kundinkreis durch gezielte Marketingmaßnahmen erweitern.
Der Antragsteller füllte alle notwendigen Formulare aus.,Die beantragende Person füllte alle notwendigen Formulare aus.,Die Beantragende füllte alle notwendigen Formulare aus.
... Das Angebot richtet sich an Anfängerinnen und Fortgeschrittene.,... Das Angebot richtet sich an AnfängerInnen und Fortgeschrittene.,... Das Angebot richtet sich an Anfängerinnen und Fortgeschrittene.
Viele Mitbürger engagieren sich in ehrenamtlichen Projekten.,Viele Mitbürger*innen engagieren sich in ehrenamtlichen Projekten.,Viele Mitbürger engagieren sich in ehrenamtlichen Projekten.
Ihr persönlicher Kundenberater steht Ihnen jederzeit zur Verfügung.,Ihr*e persönliche:r Kundenberater*in steht Ihnen jederzeit zur Verfügung.,Ihr persönliche Kundenberater steht Ihnen jederzeit zur Verfügung.
Die Präsidentenwahl findet alle vier Jahre statt.,Die Präsidentschaftswahl findet alle vier Jahre statt.,Die Präsidentschaftswahl findet alle vier Jahre statt.
Die Buddhistinnen versammelten sich im Tempel zum Gebet.,Die BuddhistInnen versammelten sich im Tempel zum Gebet.,Die Buddhistinnen versammelten sich im Tempel zum Gebet.
Der Vollstreckungsschuldner muss seine Schulden begleichen.,Del Vollstreckungsschuldneron muss deren Schulden begleichen.,Die Vollstreckungsschuldneron muss ihre Schulden begleichen.
Der Musterknabe wurde für sein vorbildliches Verhalten gelobt.,Das Musterkind wurde für sein vorbildliches Verhalten gelobt.,Das Mustermann wurde für sein vorbildliches Verhalten gelobt.
Die Siegerin des Rennens erhielt eine Trophäe.,Dier Sieger:in des Rennens erhielt eine Trophäe.,Der Sieger des Rennens erhielt eine Trophäe.
Der Dienstleister bietet exzellenten Service.,Dier Dienstleister/in bietet exzellenten Service.,Der Dienstleister bietet exzellenten Service.
Die Schülerinzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schüler_inzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schülerzeitung berichtete über aktuelle Ereignisse an der Schule.
Der Vizepräsident vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Dier Vizepräsident:in vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Der Vizepräsident vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.
Das Team war mit 15 Personen mannstark bei der Konferenz vertreten.,Das Team war mit 15 Personen zahlreich bei der Konferenz vertreten.,Das Team war mit 15 Personen zahlreich bei der Konferenz vertreten.
Der Ingenieurberuf erfordert sowohl technisches Wissen als auch kreative Problemlösung.,Der Ingenieuronberuf erfordert sowohl technisches Wissen als auch kreative Problemlösung.,Der Ingenieurberuf erfordert sowohl technisches Wissen als auch kreative Problemlösung.
Der Darsteller auf der Bühne beeindruckte das Publikum mit seiner beeindruckenden Präsenz.,Dier Darsteller:in auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Der Darsteller auf der Bühne beeindruckte das Publikum mit seinem beeindruckenden Präsenz.
Die Senioren trafen sich regelmäßig zum Kaffee.,Die Senior/innen trafen sich regelmäßig zum Kaffee.,Die Seniorinnen trafen sich regelmäßig zum Kaffee.
Der Bademeister sorgt für Sicherheit am Schwimmbecken.,Die Badeaufsicht sorgt für Sicherheit am Schwimmbecken.,Die Badeaufsicht sorgt für Sicherheit am Schwimmbecken.
"Die Wählerinitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen.","Die Wähler*ininitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen.","Die Wählerinitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen."
Der Mittelsmann vermittelte erfolgreich zwischen den beiden Geschäftspartnern.,Der Mittelsperson vermittelte erfolgreich zwischen den beiden GeschäftspartnerInnen.,Der Mittelsmann vermittelte erfolgreich zwischen den beiden Geschäftspartnern.
Die Ministerinnen hielten eine wichtige Rede im Parlament.,Die Ressortleitenden hielten eine wichtige Rede im Parlament.,Die Ressortleiter hielten eine wichtige Rede im Parlament.
Die Sprecherin des Unternehmens gab eine Pressekonferenz.,Dier Sprecher:in des Unternehmens gab eine Pressekonferenz.,Der Sprecher des Unternehmens gab eine Pressekonferenz.
Der Konditor kreierte wunderschöne Torten für die Hochzeit.,Dier Konditor:in kreierte wunderschöne Torten für die Hochzeit.,Die Konditorin kreierte wunderschöne Torten für die Hochzeit.
Die Helfer verteilten warme Mahlzeiten an obdachlose Menschen.,Die Helfer:innen verteilten warme Mahlzeiten an obdachlose Menschen.,Die Helfer verteilten warme Mahlzeiten an obdachlose Menschen.
Der Raucherbereich ist draußen vor dem Gebäude.,Der Raucher*inbereich ist draußen vor dem Gebäude.,Der Raucherbereich ist draußen vor dem Gebäude.
"Wir haben zahlreiche positive Kundenreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Kund*inreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Kundenreferenzen, die die Qualität unserer Produkte unterstreichen."
"Das versteht frau nur, wenn es einer selbst schon mal so gegangen ist.","Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist."
Die Nonnen trafen sich mehrfach am Tag zum Gebet.,Die Ordensleute trafen sich mehrfach am Tag zum Gebet.,Die Ordensleute trafen sich mehrfach am Tag zum Gebet.
Er verstand sich als Vertreter des kleinen Mannes.,Dey verstand sich als VertreterIn des kleinen Menschen.,Sie verstand sich als Vertreterin des kleinen Menschen.
Der Verteidiger plädierte im Gericht auf unschuldig.,Dier Verteidiger/in plädierte im Gericht auf unschuldig.,Die Verteidigerin plädierte im Gericht auf unschuldig.
Die Probanden mussten verschiedene Tests durchführen.,Die Proband:innen mussten verschiedene Tests durchführen.,Die Probandinnen mussten verschiedene Tests durchführen.
Die neue Werbekampagne richtet sich speziell an eine junge Kundengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kund:innengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kundinnengruppe.
Die Politikerin hielt eine Rede im Parlament.,Dier PolitikerIn hielt eine Rede im Parlament.,Der Politiker hielt eine Rede im Parlament.
Die Mannschaft trainierte hart für das bevorstehende Spiel.,Das Team trainierte hart für das bevorstehende Spiel.,Das Team trainierte hart für das bevorstehende Spiel.
Der Operateur führte den Eingriff präzise durch.,Die operierende Person führte den Eingriff präzise durch.,Die operierendin führte den Eingriff präzise durch.
Der Steuerschuldner erhielt eine Mahnung.,Dier Steuerschuldner:in erhielt eine Mahnung.,Der Steuerschuldner erhielt eine Mahnung.
"... Er tat es, um Nachahmer zu ähnlichen Taten anzustiften.","... Dey tat es, um Nachahmer*innen zu ähnlichen Taten anzustiften.","... Er tat es, um Nachahmer zu ähnlichen Taten anzustiften."
Der Fußballer zog sich eine schwere Verletzung an seinem Kreuzband zu. Er fällt die ganze restliche Saison aus. ,Die fußballspielende Person zog sich eine schwere Verletzung an deren Kreuzband zu. Dey fällt die ganze restliche Saison aus. ,Die Fußballspielerin zog sich eine schwere Verletzung an ihrer Kreuzband zu. Sie fällt die ganze restliche Saison aus.
Der Biologe erforschte das Verhalten der Tiere in ihrem natürlichen Lebensraum.,Dier Biolog/in erforschte das Verhalten der Tiere in ihrem natürlichen Lebensraum.,Der Biologe erforschte das Verhalten der Tiere in ihrem natürlichen Lebensraum.
"Das Urheberrecht schützt die geistigen Eigentumsrechte von Autoren, Künstlern und Erfindern.","Das Urheber:innenrecht schützt die geistigen Eigentumsrechte von Autor:innen, Künstler:innen und Erfinder:innen.","Das Urheberrecht schützt die geistigen Eigentumsrechte von Autorinnen, Künstlerinnen und Erfinderinnen."
Viele Bürgerinnen beteiligten sich an der Demonstration.,Viele Bürger*innen beteiligten sich an der Demonstration.,Viele Bürgerinnen beteiligten sich an der Demonstration.
Der Meister war für die Überwachung der Qualitätssicherung in der Produktionsabteilung verantwortlich.,Dier Meister/in war für die Überwachung der Qualitätssicherung /in der Produktionsabteilung verantwortlich.,Die Meisterin war für die Überwachung der Qualitätssicherungin der Produktionsabteilung verantwortlich.
Die neue Software befindet sich noch in der Pilotphase.,Die neue Software befindet sich noch in der Pilot*inphase.,Die neue Software befindet sich noch in der Pilotphase.
Im Pflegerzimmer besprachen die Krankenpfleger den Tagesablauf.,Im Pfleger/innenzimmer besprachen die Krankenpfleger/innen den Tagesablauf.,Im Pflegerzimmer besprachen die Krankenpfleger den Tagesablauf.
Jede kann an der Veranstaltung teilnehmen.,Jede:r kann an der Veranstaltung teilnehmen.,Jede kann an der Veranstaltung teilnehmen.
Der Müllmann leerte die Tonnen früh am Morgen.,Dier Beschäftigte der Müllabfuhr leerte die Tonnen früh am Morgen.,Die Müllabfuhr leerte die Tonnen früh am Morgen.
Das Sender-Nachricht-Empfänger-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.,Das Kommunikationsmodell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.,Das Kommunikationsmodell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.
Die Bauträger waren überfordert mit der größe des neuen Bauprojektes.,Die Bautragenden waren überfordert mit der größe des neuen Bauprojektes.,Die Bauträger waren überfordert mit der größe des neuen Bauprojektes.
Die Soldaten marschierten diszipliniert in Formation.,Die Streitkräfte marschierten diszipliniert in Formation.,Die Streitkräfte marschierten diszipliniert in Formation.
Der Projektträger ist verantwortlich für die Umsetzung und das Management des neuen Bauvorhabens.,Die Projektträgerschaft ist verantwortlich für die Umsetzung und das Management des neuen Bauvorhabens.,Die Projektträgerschaft ist verantwortlich für die Umsetzung und das Management des neuen Bauvorhabens.
Der Internist führte eine gründliche Untersuchung des Patienten durch.,Dier Internist/in führte eine gründliche Untersuchung dier Patient/in durch.,Der Internist führte eine gründliche Untersuchung der Patient durch.
Die Dozenten der Universität sind Experten auf ihrem Gebiet.,Die Dozent:innen der Universität sind Expert:innen auf ihrem Gebiet.,Die Dozentinnen der Universität sind Expertinnen auf ihrem Gebiet.
Der Lehrstuhlinhaber veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Dier LehrstuhlinhaberIn veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Die Lehrstuhlinhaberin veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.
Sie  fühlt sich durch die Diskussion persönlich angesprochen.,Dey fühlt sich durch die Diskussion persönlich angesprochen.,Sie fühlt sich durch die Diskussion persönlich angesprochen.
Die Spaziergängerin genoss das schöne Wetter im Park.,Dier SpaziergängerIn genoss das schöne Wetter im Park.,Die Spaziergängerin genoss das schöne Wetter im Park.
"Eine Patientenverfügung legt fest, welche medizinischen Maßnahmen im Falle einer Entscheidungsunfähigkeit ergriffen werden sollen.","Eine Patient:inverfügung legt fest, welche medizinischen Maßnahmen im Falle einer Entscheidungsunfähigkeit ergriffen werden sollen.","Eine Patientenverfügung legt fest, welche medizinischen Maßnahmen im Falle einer Entscheidungsunfähigkeit ergriffen werden sollen."
Der Rat einer Fachfrau war in dieser Situation unverzichtbar.,Der Rat einer Fachperson war in dieser Situation unverzichtbar.,Der Rat einer Fachperson war in dieser Situation unverzichtbar.
