gendered,non_gendered
Die Spieler*ingruppen traten in verschiedenen Disziplinen gegeneinander an.,Die Spieleringruppen traten in verschiedenen Disziplinen gegeneinander an.
"Die Interagierenden arbeiteten eng zusammen, um das Projekt erfolgreich abzuschließen.","Die Interakteurinnen arbeiteten eng zusammen, um das Projekt erfolgreich abzuschließen."
Dier Komiteegründer*in setzte sich leidenschaftlich für die Umweltschutzbewegung ein.,Der Komiteegründer setzte sich leidenschaftlich für die Umweltschutzbewegung ein.
Dier Spion:in sammelte geheime Informationen.,Die Spionin sammelte geheime Informationen.
"Die positiven Kund*inbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven Kundenbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen."
Der Besucher/inparkplatz war wegen des Events komplett belegt.,Der Besucherparkplatz war wegen des Events komplett belegt.
"Die positiven Kund:inbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven Kundinbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen."
Dier HospitantIn schaute dier ÄrztIn bei der Operation über die Schulter.,Die Hospitantin schaute der Ärztin bei der Operation über die Schulter.
Die Anteilseigner*innen stimmten über die neuen Unternehmensstrategien ab.,Die Anteilseignerinnen stimmten über die neuen Unternehmensstrategien ab.
"Die Verkaufskräfte in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kundschaft zu erfüllen.","Die Verkäuferinnen in dem Lebensmittelgeschäft sind stets freundlich und hilfsbereit, um die Bedürfnisse der Kundinnen zu erfüllen."
"Für viele ist das Heimatland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird.","Für viele ist das Mutterland ein Ort der Verbundenheit und der gemeinsamen Geschichte, der stolz gemacht und verteidigt wird."
"Die*der Softwareentwickler*in, die*der das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit.","Die Softwareentwicklerin, die das neue System programmiert hat, erhielt viel Lob für ihre innovative Arbeit."
Dier Filmstar wurde auf dem roten Teppich gefeiert.,Die Filmstar wurde auf dem roten Teppich gefeiert.
Das Erwachsenenteam gewann das Turnier.,Das Frauenteam gewann das Turnier.
Die Rechtsanwält_innen diskutierten den Fall ausführlich.,Die Rechtsanwältinnen diskutierten den Fall ausführlich.
Als Ausländer*in fühlte dey sich willkommen geheißen. Dey kochte zusammen mit deren Nachbar*innen Gerichte aus deren Heimat. ,Als Ausländer fühlte er sich willkommen geheißen. Er kochte zusammen mit seinen Nachbarn Gerichte aus seiner Heimat. 
Die Software bietet viele benutzerIndefinierte Einstellungen.,Die Software bietet viele benutzerdefinierte Einstellungen.
Dier Händler*in verkaufte frisches Obst und Gemüse auf dem Markt.,Der Händler verkaufte frisches Obst und Gemüse auf dem Markt.
Dier Funktionsträger*in hatte eine wichtige Rolle in der Organisation.,Die Funktionsträgerin hatte eine wichtige Rolle in der Organisation.
"Der Fakt, dass dem Autist/in ist, spielt in deren Leben manchmal eine Rolle, manchmal auch nicht.","Der Fakt, dass sie Autistin ist, spielt in ihrem Leben manchmal eine Rolle, manchmal auch nicht."
Die zu konfirmierende Person freute sich auf den besonderen Tag derer Konfirmation.,Die Konfirmandin freute sich auf den besonderen Tag ihrer Konfirmation.
Die Teilnehmer:innengebühr für den Yoga-Kurs beträgt 50 Euro pro Monat.,Die Teilnehmerinnengebühr für den Yoga-Kurs beträgt 50 Euro pro Monat.
"Dier Korrektor_in bearbeitete die Manuskripte, um Fehler vor der Veröffentlichung zu beheben.","Die Korrektorin bearbeitete die Manuskripte, um Fehler vor der Veröffentlichung zu beheben.
"
XY,XY
Die Expert/innenkommission legte ihren Bericht vor.,Die Expertinnenkommission legte ihren Bericht vor.
Die Aussiedler/innen wurden in ihrer neuen Heimat herzlich empfangen. ,Die Aussiedlerinnen wurden in ihrer neuen Heimat herzlich empfangen. 
Dier Zeug/in sagte im Gerichtsprozess gegen dier Angeklagte/n aus.,Die Zeugin sagte im Gerichtsprozess gegen die Angeklagte aus.
Die am meisten unterstützende Person erhielt zum Ende eine Urkunde.,Der größte Unterstützer erhielt zum Ende eine Urkunde.
Die jungen Komponist:innen beeindruckten das Publikum mit ihrer innovativen Musik.,Die jungen Komponistinnen beeindruckten das Publikum mit ihrer innovativen Musik.
Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Der Lehrling begann seine Ausbildung mit viel Enthusiasmus.
Dier Bauer*in bewirtschaftet deren Land.,Die Bauerin bewirtschaftet ihr Land.
Die Veteran_innen wurden bei der Parade geehrt und für ihren Dienst gewürdigt.,Die Veteranen wurden bei der Parade geehrt und für ihren Dienst gewürdigt.
Dier Professor/in hielt eine Vorlesung über Quantenphysik.,Die Professorin hielt eine Vorlesung über Quantenphysik.
Die Austauschperson aus Frankreich besuchte für ein Jahr unsere Schule.,Der Austauschschüler aus Frankreich besuchte für ein Jahr unsere Schule.
"Der Fakt, dass dem Autist*in ist, spielt in deren Leben manchmal eine Rolle, manchmal auch nicht.","Der Fakt, dass sie Autistin ist, spielt in ihrem Leben manchmal eine Rolle, manchmal auch nicht."
Die in der Politik tätige Person hielt eine Rede im Parlament.,Die Politikerin hielt eine Rede im Parlament.
Ein verlassener Koffer sorgte für Chaos am Bahnhof.,Ein verlassener Koffer sorgte für Chaos am Bahnhof.
"Dier Studienaussteiger:in entschied sich, das Studium abzubrechen und eine Ausbildung im Handwerk zu beginnen.","Die Studienaussteigerin entschied sich, das Studium abzubrechen und eine Ausbildung im Handwerk zu beginnen."
"Als LeistungsträgerIn im Unternehmen erhielt dey eine Beförderung.
","Als Leistungsträgerin im Unternehmen erhielt sie eine Beförderung.
"
... Wie viele Nutzende hat diese Website?,... Wie viele Userinnen hat diese Website?
Dier Einlader/in schickte die Einladungen per Post.,Der Einlader schickte die Einladungen per Post.
Bei der Fortbildung lernen die Chirurg:innen die neuesten Techniken der Herz-Thorax-Chirurgie.,Bei der Fortbildung lernen die Chirurgen die neuesten Techniken der Herz-Thorax-Chirurgie.
Die Ökonom_innen diskutierten über die Inflation.,Die Ökonomen diskutierten über die Inflation.
Der Kund/inauftrag musste bis Ende der Woche vollständig bearbeitet werden.,"Der Kundenauftrag musste bis Ende der Woche vollständig bearbeitet werden.
"
Dier Fachärzt/in für Kardiologie hat mich behandelt.,Der Facharzt für Kardiologie hat mich behandelt.
"Die Vertragspartner_innen unterzeichneten die Vereinbarung, die die Bedingungen ihrer Zusammenarbeit festlegte.","Die Vertragspartner unterzeichneten die Vereinbarung, die die Bedingungen ihrer Zusammenarbeit festlegte."
Über mein Kund*inkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.,Über mein Kundenkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.
Dier Steinbildhauer_in arbeitete an einer beeindruckenden Statue.,Die Steinbildhauerin arbeitete an einer beeindruckenden Statue.
"Dier Kooperationspartner_in entwickelte neue Strategien für das Geschäftsjahr.
","Der Kooperationspartner entwickelte neue Strategien für das Geschäftsjahr.
"
Die Anlieger*innen der Straße protestierten gegen den geplanten Bau.,Die Anlieger der Straße protestierten gegen den geplanten Bau.
"Ich suche eine:n Mitbürger:in, dier mit mir einen Verein gründet.","Ich suche eine Mitbürgerin, die mit mir einen Verein gründet."
Dier Schütz_inkönig_in wurde beim traditionellen Fest feierlich gekrönt.,Der Schützenkönig wurde beim traditionellen Fest feierlich gekrönt.
Die Unternehmensvorteile umfassen flexible Arbeitszeiten und Weiterbildungen.,Die Arbeitgebervorteile umfassen flexible Arbeitszeiten und Weiterbildungen.
Der Besucher:inrückgang in der Ausstellung war deutlich spürbar.,Der Besucherinrückgang in der Ausstellung war deutlich spürbar.
Nicht alle Jüd:innen sind gläubig. ,Nicht alle Jüdinnen sind gläubig. 
... Löst die Aufgabe in Partner:inarbeit!,... Löst die Aufgabe in Partnerarbeit!
 Die berichterstattende Person berichtete live vom Ort des Geschehens.,Die Reporterin berichtete live vom Ort des Geschehens.
Die Ermittler*innen fanden die Schuldigen nach intensiven Untersuchungen.,Die Ermittlerinnen fanden die Schuldigen nach intensiven Untersuchungen.
Dier Künstler/in stellte deren neuen Werke in der Galerie aus.,"Der Künstler stellte seine neuen Werke in der Galerie aus.
"
Dier Personaler_in führt das Bewerbungsgespräch.,Die Personalerin führt das Bewerbungsgespräch.
Alltagshelfer:in,Alltagshelferin
XY,XY
Die Sänger_innen trafen die hohen Töne nicht. ,Die Sängerinnen trafen die hohen Töne nicht. 
Die Friedensbewegten demonstrierten für den Frieden.,Die Pazifistinnen demonstrierten für den Frieden.
Das Blumenkind streute Blütenblätter auf den Weg.,Das Blumenmädchen streute Blütenblätter auf den Weg.
Dey ist eine beteiligte Person heute beim Spiel,Er ist Beteiligter heute bei Spiel
Dier Tourguide führte die Gruppe durch die historische Altstadt und erklärte die Sehenswürdigkeiten.,Der Tourguide führte die Gruppe durch die historische Altstadt und erklärte die Sehenswürdigkeiten.
Ein kauftechnischer Beruf erfordert oft gute mathematische Kenntnisse.,Ein kauffrauischer Beruf erfordert oft gute mathematische Kenntnisse.
Die Fachkraft einer Konditorei kreierte wunderschöne Torten für die Hochzeit.,Der Konditor kreierte wunderschöne Torten für die Hochzeit.
"Die Kompetenzträger:innen aus verschiedenen Abteilungen arbeiteten zusammen, um die Herausforderung zu meistern.","Die Kompetenzträger aus verschiedenen Abteilungen arbeiteten zusammen, um die Herausforderung zu meistern."
Dier Direktor:in hielt eine Rede vor der gesamten Schule.,Die Direktorin hielt eine Rede vor der gesamten Schule.
"Beim Schüler:intriathlon traten die Kinder in den Disziplinen Schwimmen, Radfahren und Laufen gegeneinander an.","Beim Schülerintriathlon traten die Kinder in den Disziplinen Schwimmen, Radfahren und Laufen gegeneinander an."
Dier RadiologIn analysierte die Röntgenbilder.,Die Radiologin analysierte die Röntgenbilder.
Die Person an der Kasse scannte die Produkte schnell und effizient und sorgte für einen reibungslosen Bezahlvorgang an der Kasse.,Die Kassiererin scannte die Produkte schnell und effizient und sorgte für einen reibungslosen Bezahlvorgang an der Kasse.
"Dier Passinhaber*in musste deren Reisepass vorzeigen, um die Sicherheitskontrolle zu passieren.","Der Passinhaber musste seinen Reisepass vorzeigen, um die Sicherheitskontrolle zu passieren."
Dier Arbeitgeber/in bietet deren Angestellten flexible Arbeitszeiten an.,Der Arbeitgeber bietet seinen Angestellten flexible Arbeitszeiten an.
"Dier TeamleiterIn musste stets „HerrIn der Lage sein“, um alle Herausforderungen effektiv zu meistern.","Der Teamleiter musste stets „Herr der Lage sein“, um alle Herausforderungen effektiv zu meistern."
Dier OberbürgermeisterIn eröffnete die neue Stadthalle.,Der Oberbürgermeister eröffnete die neue Stadthalle.
Dier Parlamentarier/in stimmte gegen das neue Gesetz.,Der Parlamentarier stimmte gegen das neue Gesetz.
Dier Poet:in schrieb wunderschöne Gedichte.,Die Poetin schrieb wunderschöne Gedichte.
Die Anwaltschaft kümmert sich gewissenhaft um die Belange der auftraggebenden Person und setzt sich entschlossen für ihre Rechte ein.,Die Anwaltschaft kümmert sich gewissenhaft um die Belange ihres Mandanten und setzt sich entschlossen für seine Rechte ein.
"Dier Analphabet_in hat Schwierigkeiten, gedruckte Texte zu verstehen. ","Der Analphabet hat Schwierigkeiten, gedruckte Texte zu verstehen. "
Dier Betrüger:in wurde für deren illegalen Aktivitäten verhaftet.,Der Betrüger wurde für seine illegalen Aktivitäten verhaftet.
Dey sprach dien Spaziergänger:in auf deren coole Sneaker an.,Sie sprach die Spaziergängerin auf ihre coolen Sneaker an.
Die Sozialarbeiter_innen helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiterinnen helfen den Menschen in schwierigen Lebenslagen.
Die Auszubildenden im Praktikum erhielten Einblick in verschiedene Abteilungen.,Die Praktikantinnen erhielten Einblick in verschiedene Abteilungen.
Dier Rival_in war schwer zu besiegen.,Der Rivale war schwer zu besiegen.
Die Versicherung fragte nach den Verursachenden des Brandschadens.,Die Versicherung fragte nach den Verursachern des Brandschadens.
Dier Narr*in brachte alle zum Lachen.,Der Narr brachte alle zum Lachen.
Der Besucher/instrom auf der Messe war überwältigend.,Der Besucherinstrom auf der Messe war überwältigend.
Die Leitung des Lehrstuhles veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Die Lehrstuhlinhaberin veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.
InfluencerInnen haben ganz viele AbonnentInnen.,Influencer haben ganz viele Abonnenten
Dier Unterzeichner/in des Vertrags akzeptierte die Bedingungen.,Der Unterzeichner des Vertrags akzeptierte die Bedingungen.
Trägst du etwas am Körper?,Trägst du etwas am Mann?
Dier InteressensvertreterIn sprach vor dem Parlament über die Anliegen derer Branche.,Der Interessensvertreter sprach vor dem Parlament über die Anliegen seiner Branche.
Die Redner*innenliste für die Konferenz wurde vorab veröffentlicht.,Die Rednerinnenliste für die Konferenz wurde vorab veröffentlicht.
Dier Friseur:in schnitt dem die Haare.,Die Friseurin schnitt ihr die Haare.
Alle Vereinsmitglieder*innen sind zur Hauptversammlung eingeladen.,Alle Vereinsmitglieder sind zur Hauptversammlung eingeladen.
Die Sekretär:innen organisierten das Büro und die Termine.,Die Sekretäre organisierten das Büro und die Termine.
"Dier Zuhörer_in musste sich nicht anstrengen, zuzuhören.","Die Zuhörerin musste sich nicht anstrengen, zuzuhören."
Dey fand viele Mitwirkende für deren Projekt.,Sie fand viele Mitstreiterinnen für ihr Projekt.
Dier Evaluator:in bewertete das Projekt nach festen Kriterien.,Der Evaluator bewertete das Projekt nach festen Kriterien.
Die BuddhistInnen versammelten sich im Tempel zum Gebet.,Die Buddhisten versammelten sich im Tempel zum Gebet.
Die Einbrecher_innen wurde auf frischer Tat ertappt.,Die Einbrecherinnen wurde auf frischer Tat ertappt.
Dier Bürg*in garantierte für die Rückzahlung des Kredits.,Die Bürgin garantierte für die Rückzahlung des Kredits.
"Dier Kursleiter_in vermittelte den Teilnehmenden die grundlegenden Techniken der Fotografie.
","Der Kursleiter vermittelte den Teilnehmern die grundlegenden Techniken der Fotografie.
"
Als Laborarbeiter*in unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiterin unterstützt sie bei Experimenten und sorgt für die Sauberkeit des Labors.
Deren kosmopolitisches Auftreten beeindruckte alle auf der Konferenz.,Ihr weltfrauisches Auftreten beeindruckte alle auf der Konferenz.
"Dier Kooperationspartner:in entwickelte neue Strategien für das Geschäftsjahr.
","Die Kooperationspartnerin entwickelte neue Strategien für das Geschäftsjahr.
"
Ein:e Abgänger:in hat oft andere Aussichten.,Eine Abgängerin hat oft andere Aussichten.
Die neue Werbekampagne richtet sich speziell an eine junge Kund*innengruppe.,Die neue Werbekampagne richtet sich speziell an eine junge Kundinnengruppe.
Dier Zeichnungsberechtigte konnte die Verträge unterzeichnen und die erforderlichen Dokumente genehmigen.,Die Zeichnungsberechtigte konnte die Verträge unterzeichnen und die erforderlichen Dokumente genehmigen.
Der Raucher*inbereich ist draußen vor dem Gebäude.,Der Raucherinbereich ist draußen vor dem Gebäude.
Das Angebot der anbietenden Person umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterin umfasst eine Vielzahl von Produkten
Die AuftragnehmerInnen lasen den Vertrag vorab gründlich durch.,Die Auftragnehmer lasen den Vertrag vorab gründlich durch.
"Dier Patholog:in analysierte die Gewebeproben, um eine Diagnose zu stellen.","Die Pathologin analysierte die Gewebeproben, um eine Diagnose zu stellen."
Dier Spieler_in erzielte das entscheidende Tor.,Der Spieler erzielte das entscheidende Tor.
Die SpielerInnen erzielten das entscheidende Tor im Finale.,Die Spielerinnen erzielten das entscheidende Tor im Finale.
Dier Repräsentant*in der Firma hielt eine Präsentation.,Der Repräsentant der Firma hielt eine Präsentation.
"Obwohl dey hart kämpfte, war dey letztendlich dier Verlierer:in des Schachturniers.","Obwohl sie hart kämpfte, war sie letztendlich die Verliererin des Schachturniers."
Nur ein_e Berechtigte:r kann auf diese sensiblen Daten zugreifen.,Nur eine Berechtigte kann auf diese sensiblen Daten zugreifen.
Dier Schulbegleiter_in unterstützte das Kind während des Unterrichts und half bei der Integration.,Die Schulbegleiterin unterstützte das Kind während des Unterrichts und half bei der Integration.
Dier Springer*in übernahm kurzfristig die Vertretung im Service.,Die Springerin übernahm kurzfristig die Vertretung im Service.
"Deren größte_r Widersacher_in im Schachturnier war ein_e Spieler_in, dier dey schon seit Jahren kannte.","Sein größter Widersacher im Schachturnier war ein Spieler, den er schon seit Jahren kannte."
Die Produzierenden von landwirtschaftlichen Produkten stellten frische Produkte bereit.,Die landwirtschaftlichen Erzeugerinnen stellten frische Produkte bereit.
Die bergsteigenden Personen erklimmen die Gipfel mit Leidenschaft.,Die Alpinisten erklimmen die Gipfel mit Leidenschaft.
Die asketisch lebende Person lebte ein einfaches und zurückgezogenes Leben.,Die Asketin lebte ein einfaches und zurückgezogenes Leben.
Dier Fahrgäst/in stieg am Hauptbahnhof in den Zug.,Die Fahrgästin stieg am Hauptbahnhof in den Zug.
Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.,Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.
Dier Interpret*in sang eine neue Oper.,Die Interpretin sang eine neue Oper.
Die Arbeitsstelle bietet ihren Angestellten flexible Arbeitszeiten an.,Der Arbeitgeber bietet seinen Angestellten flexible Arbeitszeiten an.
"Dier LizenznehmerIn erhielt die Erlaubnis, das patentierte Produkt zu produzieren.","Der Lizenznehmer erhielt die Erlaubnis, das patentierte Produkt zu produzieren."
Die*der Auszubildende absolvierte deren erstes Praktikum in der Marketingabteilung und lernte dabei viel über Kundenkommunikation.,Die Auszubildende absolvierte ihr erstes Praktikum in der Marketingabteilung und lernte dabei viel über Kundinkommunikation.
Dier Vertriebler/in präsentierte die neuen Softwarelösungen.,Die Vertrieblerin präsentierte die neuen Softwarelösungen.
Dier Diabetiker/in muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Der Diabetiker muss regelmäßig seinen Blutzuckerspiegel kontrollieren.
Die Kandidaturfrage wurde während der Debatte besonders intensiv diskutiert.,Die Kandidatenfrage wurde während der Debatte besonders intensiv diskutiert.
Die Einschaltquote stieg während der Live-Übertragung.,Die Zuschauerquote stieg während der Live-Übertragung.
Dier InlineskaterIn trainiert täglich im Park.,Die Inlineskaterin trainiert täglich im Park.
"Die Sprachschüler/innen übten täglich, um ihre Sprachkenntnisse zu verbessern.","Die Sprachschüler übten täglich, um ihre Sprachkenntnisse zu verbessern."
Die mit Personen besetzte Mission zum Mars war ein großer Erfolg.,Die befraute Mission zum Mars war ein großer Erfolg.
Dier Monteur:in installierte die neue Klimaanlage.,Der Monteur installierte die neue Klimaanlage.
Dier engagierte Kindertagespfleger_in kümmerte sich liebevoll um die Kinder.,Die engagierte Kindertagespflegerin kümmerte sich liebevoll um die Kinder.
Der AusstellerInausweis berechtigte dem zum Zutritt zur Messe.,Der Ausstellerausweis berechtigte ihn zum Zutritt zur Messe.
"Dier Sänger:in trat unter deren bekannten Künstler:innamen auf.
","Die Sängerin trat unter ihrem bekannten Künstlerinnamen auf.
"
Das Arbeitgeber/inmarketing spielt eine zentrale Rolle im Recruiting-Prozess.,Das Arbeitgebermarketing spielt eine zentrale Rolle im Recruiting-Prozess.
Dier Vizepräsident/in vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Die Vizepräsidentin vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.
Dier Brandschutzbeauftragte überprüfte die Feuerlöscher im Gebäude.,Der Brandschutzbeauftragte überprüfte die Feuerlöscher im Gebäude.
Die Arbeitnehmendenvertretung sprach die Anliegen der Belegschaft an.,Der Arbeitnehmerinvertreter sprach die Anliegen der Belegschaft an.
Ich bin kein/e Befürworter/in der Entscheidungen meiner Chef/in.,Ich bin kein Befürworter der Entscheidungen meines Chefs.
Dier Gesprächspartner/in war sehr gut informiert.,Die Gesprächspartnerin war sehr gut informiert.
"Dier Bürgermeister:in trat ans Redner:inpult, um die Eröffnungsrede zu halten.","Der Bürgermeister trat ans Rednerpult, um die Eröffnungsrede zu halten."
"Die regelmäßige Mitarbeiter/inbeurteilung hilft dabei, Stärken und Schwächen im Team zu erkennen.","Die regelmäßige Mitarbeiterinbeurteilung hilft dabei, Stärken und Schwächen im Team zu erkennen."
Die Autofahrer_innen hielten an der roten Ampel.,Die Autofahrerinnen hielten an der roten Ampel.
"Dier Analphabet:in hat Schwierigkeiten, gedruckte Texte zu verstehen. ","Die Analphabetin hat Schwierigkeiten, gedruckte Texte zu verstehen. "
Eine*n Künstler*in von gleicher Art findet man nur selten.,Einen Künstler seinesgleichen findet man nur selten.
Dier Testleiter_in erklärte den Teilnehmer_innen die Regeln und überwachte den gesamten Prüfungsverlauf.,Die Testleiterin erklärte den Teilnehmerinnen die Regeln und überwachte den gesamten Prüfungsverlauf.
"Die Leitung des Dekanats hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten.","Der Dekan hatte die verantwortungsvolle Aufgabe, die Belange der Fakultät zu koordinieren und zu leiten."
Viele Zivilist:innen waren von den Kämpfen betroffen.,Viele Zivilisten waren von den Kämpfen betroffen.
Das Pfortenpersonal ließ die Besuchenden in das Gebäude.,Der Pförtner ließ die Besucher in das Gebäude.
Das Nachbar:inhaus wurde kürzlich renoviert.,Das Nachbarhaus wurde kürzlich renoviert.
Dier Schriftführer*in hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.,Die Schriftführerin hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.
Die wissenschaftliche mitarbeitende Person unterstützten die die Professur innehabende Person bei deren Forschungsarbeiten.,Die wissenschaftlichen Mitarbeiter unterstützten den Professor bei seinen Forschungsarbeiten.
Die SchülerInfahrtkosten wurden von der Schule erstattet.,Die Schülerinfahrtkosten wurden von der Schule erstattet.
Die Mode-Ikone setzte mit ihren radikalen Designs neue Trends in der Modewelt.,Der Modepapst setzte mit seinen radikalen Designs neue Trends in der Modewelt.
Die kandidierende Person stellte deren Visionen und Pläne für die Zukunft des Landes bei einer öffentlichen Debatte vor.,Der Kandidat stellte seine Visionen und Pläne für die Zukunft des Landes bei einer öffentlichen Debatte vor.
"Die Tageseltern kümmerten sich liebevoll um die Kinder, während ihre Eltern bei der Arbeit waren.","Der Tagesväter kümmerten sich liebevoll um die Kinder, während ihre Eltern bei der Arbeit waren."
Dey wurde von Gefühlen überwältigt und brach in Tränen aus.,Sie wurde von Gefühlen überwältigt und brach in Tränen aus.
Auf der Expert:innentagung wurden neueste Forschungsergebnisse vorgestellt.,Auf der Expertentagung wurden neueste Forschungsergebnisse vorgestellt.
Dier Zehnkämpfer/in trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.,Die Zehnkämpferin trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.
Die Augenzeug*innen berichteten der Polizei von dem Unfall.,Die Augenzeugen berichteten der Polizei von dem Unfall.
Die RabbinerInnen treffen sich zum Gebet.,Die Rabbiner treffen sich zum Gebet.
Dier Favorit_in des Rennens hat diesmal leider nicht gewonnen.,Die Favoritin des Rennens hat diesmal leider nicht gewonnen.
Das Künstler*innenbuch enthält eine Sammlung von Zeichnungen und Texten.,Das Künstlerbuch enthält eine Sammlung von Zeichnungen und Texten.
Dier Erb/in trat das Familienunternehmen an.,Der Erbe trat das Familienunternehmen an.
Auf Kund:inseite gab es positive Rückmeldungen zu unserem neuen Produkt.,Auf Kundinseite gab es positive Rückmeldungen zu unserem neuen Produkt.
Heute haben wir ein AbsolventInnenvorsprechen [Schauspielschule],Heute haben wir ein Absolventinnenvorsprechen [Schauspielschule]
... Ein-Personen-Betrieb,... Eine-Frau-Betrieb
Dier WinzerIn produzierte ausgezeichneten Wein.,Der Winzer produzierte ausgezeichneten Wein.
Die Krebspatient_innen erhielten umfassende Unterstützung und Behandlung durch ein spezialisiertes Team.,Die Krebspatientinnen erhielten umfassende Unterstützung und Behandlung durch ein spezialisiertes Team.
Die helfende Person brachte die Werkzeuge zur Baustelle.,Die Handlangerin brachte die Werkzeuge zur Baustelle.
Die GästInfreundInschaft der Familie war überwältigend.,Die Gastfreundschaft der Familie war überwältigend.
Eine gute Patient:innen-Ärzt:in-Kommunikation ist entscheidend für den Behandlungserfolg.,Eine gute Patienten-Arzt-Kommunikation ist entscheidend für den Behandlungserfolg.
"... Die Stimmungsanimateur*in verbreitet gute Laune, egal wo dey ist. ","... Der Stimmungsanimateur verbreitet gute Laune, egal wo er ist. "
Dier Regierungschef*in gab eine wichtige Rede zur Wirtschaftslage des Landes.,Die Regierungschefin gab eine wichtige Rede zur Wirtschaftslage des Landes.
"Die Polizei nahm die kriminelle Person fest, die für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war.","Die Polizei nahm den Verbrecher fest, der für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war."
"Mein*e Kumpel*ine und ich trafen uns jedes Wochenende zum Fußballspielen.
","Meine Kumpeline und ich trafen uns jedes Wochenende zum Fußballspielen.
"
"Die Interakteur_innen arbeiteten eng zusammen, um das Projekt erfolgreich abzuschließen.","Die Interakteure arbeiteten eng zusammen, um das Projekt erfolgreich abzuschließen."
"Dier Kommiliton/in half dem, sich auf die bevorstehende Prüfung vorzubereiten und teilte ihre Lernmaterialien.","Der Kommilitone half ihm, sich auf die bevorstehende Prüfung vorzubereiten und teilte seine Lernmaterialien."
Die Webseite war sehr lesefreundlich gestaltet und leicht zu navigieren.,Die Webseite war sehr leserfreundlich gestaltet und leicht zu navigieren.
Als Repetent:in wiederholte dey eine Klasse.,Als Repetent wiederholte er eine Klasse.
Die Künstler/innenkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Künstlerkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.
"Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Der junge Mann mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
"
"Dier Rehasportler_in nutzte die spezielle Sporttherapie, um deren Beweglichkeit zurückzugewinnen.","Die Rehasportlerin nutzte die spezielle Sporttherapie, um ihre Beweglichkeit zurückzugewinnen."
"Dier Hersteller_in brachte ein neues, innovatives Produkt auf den Markt.","Die Herstellerin brachte ein neues, innovatives Produkt auf den Markt."
Der Bauer_innverband produziert Nahrungsmittel.,Der Bauerinverband produziert Nahrungsmittel.
Tim ist nicht mehr Herr*in derer Sinne.,Tim ist nicht mehr Herr seiner Sinne.
Dier Schüler/invertreter/in setzte sich für die Anliegen der Klasse ein.,Die Schülerinvertreterin setzte sich für die Anliegen der Klasse ein.
Seit unserer Kindheit ist dey meine treue Wegbegleiter*in.,Seit unserer Kindheit ist sie meine treue Wegbegleiterin.
Das Kundschaftsprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.,Das Kundinprojekt wurde pünktlich und zur vollen Zufriedenheit abgeschlossen.
Die Besucher_inzahl des Festivals erreichte dieses Jahr einen neuen Rekord.,Die Besucherinzahl des Festivals erreichte dieses Jahr einen neuen Rekord.
Dier EinladerIn schickte die Einladungen per Post.,Die Einladerin schickte die Einladungen per Post.
Dier Sterbende wurde liebevoll von deren Familie begleitet.,Der Sterbende wurde liebevoll von seiner Familie begleitet.
... Anna und Peter sind Arbeitskolleg:innen.,... Anna und Peter sind Arbeitskollegen.
"Mein Großelternteil freut sich immer, wenn deren Enkelkinder dem besuchen.","Meine Großmutter freut sich immer, wenn ihre Enkelinnen sie besuchen."
Das Gründer:inzentrum bot Start-ups umfassende Unterstützung und Ressourcen.,Das Gründerinzentrum bot Start-ups umfassende Unterstützung und Ressourcen.
